TAG	TEXT	COMMENT
FB_BUILDABRAWL001	Виберіть першу бійню!	
FB_BUILDABRAWL002	Виберіть другу бійню!	
FB_ELO_GREATERSPIRITS	Виберіть покращений бонус!	
FB_ELO_SPIRITS	Виберіть бонус!	
GALAKROND_ONCE	Одне <b>взивання</b> до поліпшення.	
GALAKROND_TWICE	Два <b>взивання</b> до поліпшення.	
GAMEPLAY_AI_OPPONENT_NAME	Господар таверни	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>(Отримуйте шкоди від своїх карт для поліпшення.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>(Отримуйте шкоди від своїх карт для поліпшення.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>(Отримуйте шкоди від своїх карт для поліпшення.)</i>	
GAMEPLAY_BACON_ALTERNATE_PLAYER_NAME	{0}	0=character hero name
GAMEPLAY_BACON_BUY_TUTORIAL	Перетягніть, щоб завербувати.	
GAMEPLAY_BACON_COIN_TUTORIAL_1	Вербування створінь <b>ЗАВЖДИ</b> коштує 3 золоті.	
GAMEPLAY_BACON_COIN_TUTORIAL_2	Все невитрачене золото зникає.	
GAMEPLAY_BACON_COMBAT_BODY_TUTORIAL	Ті істоти, що вижили в бою, допомагають вам нанести додаткову шкоди.\n\nЧим вище рівень таверни, тим більше шкоди ви завдасте!	
GAMEPLAY_BACON_COMBAT_BUTTON_TUTORIAL	ОК!	
GAMEPLAY_BACON_COMBAT_END_TURN_BUTTON_TEXT	Бій	
GAMEPLAY_BACON_COMBAT_PHASE_NAME	Бій	
GAMEPLAY_BACON_COMBAT_TITLE_TUTORIAL	Бойова шкода	
GAMEPLAY_BACON_CONFIRM_BUTTON_TUTORIAL	ОК!	
GAMEPLAY_BACON_DRAGBUY_BODY_TUTORIAL	Перетягуйте істот\nдо героя, щоб вербувати їх\n<b>за 3 золоті</b>.\n\nЗберіть армію, щоб перемогти суперників!	
GAMEPLAY_BACON_DRAGBUY_BUTTON_TUTORIAL	Завербувати	
GAMEPLAY_BACON_DRAGBUY_TITLE_TUTORIAL	Вербуйте створінь!	
GAMEPLAY_BACON_DRAGBUY_TRIPLE_TUTORIAL	Купіть, щоб отримати триплет!	
GAMEPLAY_BACON_DRAGBUY_TUTORIAL	Перетягніть до свого героя.	
GAMEPLAY_BACON_DRAGSELL_BODY_TUTORIAL	Перетягуйте істот до Боба, щоб продавати їх.\n\nПри цьому ви звільняєте місце і отримуєте золото!	
GAMEPLAY_BACON_DRAGSELL_BUTTON_TUTORIAL	Продати	
GAMEPLAY_BACON_DRAGSELL_TITLE_TUTORIAL	Продавайте створінь!	
GAMEPLAY_BACON_DRAGSELL_TUTORIAL	Перетягніть створіння сюди, щоб продати його.	
GAMEPLAY_BACON_ENEMY_MINION_TUTORIAL	Виберіть створіння.	
GAMEPLAY_BACON_FREEZE_TUTORIAL	Заморожуйте істот, щоб знову побачити їх наступного ходу.	
GAMEPLAY_BACON_MINION_MOVE_TUTORIAL	Перетягніть вправо, щоб змінити побудова.	
GAMEPLAY_BACON_MINION_UPGRADE_TAVERN_TUTORIAL	Модернізуйте таверну!	
